Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
TTI,"Tetra Technologies, Inc.",2.64,305970292.3,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tti
TPL,Texas Pacific Land Trust,399.71,3141142619,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tpl
SRV,The Cushing MLP Total Return Fund,11.73,78993362.46,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srv
THR,"Thermon Group Holdings, Inc.",17.59,569961470.2,n/a,United States,2011,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/thr
TIER,"TIER REIT, Inc.",18.71,895143222.3,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/tier
TPGE.U,TPG Pace Energy Holdings Corp.,n/a,0,n/a,United States,2017,n/a,n/a,http://www.nasdaq.com/symbol/tpge.u
TPGE.WS,TPG Pace Energy Holdings Corp.,n/a,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tpge.ws
TPGE,TPG Pace Energy Holdings Corp.,9.8109,159427125,n/a,United States,2017,Finance,Business Services,http://www.nasdaq.com/symbol/tpge
TPGH.U,TPG Pace Holdings Corp.,n/a,0,n/a,United States,2017,n/a,n/a,http://www.nasdaq.com/symbol/tpgh.u
TPGH.WS,TPG Pace Holdings Corp.,n/a,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tpgh.ws
TCI,"Transcontinental Realty Investors, Inc.",27.52,239912947.8,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/tci
TREC,Trecora Resources,12.75,309869803.5,n/a,United States,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/trec
TRN,"Trinity Industries, Inc.",30.2,4570334637,n/a,United States,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/trn
TYL,"Tyler Technologies, Inc.",173.4,6468363436,n/a,United States,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tyl
USPH,"U.S. Physical Therapy, Inc.",59.3,746067354.1,n/a,United States,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/usph
USAC,"USA Compression Partners, LP",15.76,970421448.4,n/a,United States,2013,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/usac
USDP,USD Partners LP,10.85,280996837.1,n/a,United States,2014,Transportation,Railroads,http://www.nasdaq.com/symbol/usdp
